lakeid,lakename,year4,daynum,sampledate,depth,temperature_C,dissolvedOxygen,irradianceWater,irradianceDeck,comments
R,Peter Lake,2015,138,18/05/2015,0,15.5,13,397,412,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,0.25,NA,NA,309,396,NA
R,Peter Lake,2015,138,18/05/2015,0.5,15.5,12.8,228,376,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,0.75,NA,NA,178,391,NA
R,Peter Lake,2015,138,18/05/2015,1,15.5,12.6,139,410,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,1.5,14.5,13,93,423,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,2,13.7,13,64,445,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,2.5,12.1,15.3,50,499,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,3,9.8,16.6,39.2,573,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,3.5,7.6,18,28,623,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,4,6.5,18,16,580,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,4.5,5.6,17.9,7.94,545,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,5,5.4,12.1,4.72,571,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,5.5,4.7,5.5,2.88,590,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,6,4.6,5.2,1.71,594,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,6.5,4.6,4.4,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,7,4.5,4.3,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,8,4.4,4.1,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,9,4.4,4,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,10,4.4,4.3,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,11,4.4,4.3,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,138,18/05/2015,12,4.5,4.3,NA,NA,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,145,25/05/2015,0,17.4,8.3,134.1,137.4,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,145,25/05/2015,0.25,NA,NA,115.6,146.7,NA
R,Peter Lake,2015,145,25/05/2015,0.5,17.4,8,83.06,138.3,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,145,25/05/2015,0.75,NA,NA,59.92,126.7,NA
R,Peter Lake,2015,145,25/05/2015,1,16,8.8,41.41,115.5,DO Probe bad - Doesn't go to zero
R,Peter Lake,2015,145,25/05/2015,1.5,14.4,8.9,24.57,108.7,DO Probe bad - Doesn't go to zero
