Time,Evaporation (mm/hour),Precipitation (mm/hour)
1/01/2015 0:00,0.006,0
1/01/2015 1:00,0.006,0
1/01/2015 2:00,0.011,0.001
1/01/2015 3:00,0.008,0.003
1/01/2015 4:00,0.006,0.013
1/01/2015 5:00,0.005,0.067
1/01/2015 6:00,0.003,0.195
1/01/2015 7:00,0.002,0.294
1/01/2015 8:00,0.001,0.259
1/01/2015 9:00,0,0.176
1/01/2015 10:00,0,0.147
1/01/2015 11:00,0.002,0.122
1/01/2015 12:00,0.005,0.075
1/01/2015 13:00,0.015,0.083
1/01/2015 14:00,0.04,0.084
1/01/2015 15:00,0.05,0.034
1/01/2015 16:00,0.049,0.012
1/01/2015 17:00,0.044,0.007
1/01/2015 18:00,0.041,0.005
1/01/2015 19:00,0.033,0.005
1/01/2015 20:00,0.028,0.005
1/01/2015 21:00,0.022,0.005
1/01/2015 22:00,0.017,0.005
1/01/2015 23:00,0.013,0.006
2/01/2015 0:00,0.01,0.005
2/01/2015 1:00,0.005,0.003
2/01/2015 2:00,0.003,0.002
2/01/2015 3:00,0.002,0.001
2/01/2015 4:00,0.002,0.001
2/01/2015 5:00,0.004,0.001
2/01/2015 6:00,0.004,0.001
2/01/2015 7:00,0.003,0
2/01/2015 8:00,0.001,0
2/01/2015 9:00,0.001,0
2/01/2015 10:00,0.004,0
2/01/2015 11:00,0.007,0.002
2/01/2015 12:00,0.013,0.004
2/01/2015 13:00,0.02,0.006
2/01/2015 14:00,0.025,0.002
2/01/2015 15:00,0.028,0.014
2/01/2015 16:00,0.025,0.027
2/01/2015 17:00,0.019,0.03
2/01/2015 18:00,0.016,0.025
2/01/2015 19:00,0.014,0.024
2/01/2015 20:00,0.013,0.015
2/01/2015 21:00,0.012,0.008
2/01/2015 22:00,0.012,0.002
2/01/2015 23:00,0.012,0.001
3/01/2015 0:00,0.013,0
3/01/2015 1:00,0.013,0.001
3/01/2015 2:00,0.009,0
3/01/2015 3:00,0.007,0.001
3/01/2015 4:00,0.005,0.01
3/01/2015 5:00,0.002,0.041
3/01/2015 6:00,0.001,0.048
3/01/2015 7:00,0.003,0.023
3/01/2015 8:00,0.003,0.019
3/01/2015 9:00,0.004,0.023
3/01/2015 10:00,0.003,0.005
3/01/2015 11:00,0.001,0.01
3/01/2015 12:00,0.004,0.006
3/01/2015 13:00,0.01,0.002
3/01/2015 14:00,0.014,0
3/01/2015 15:00,0.019,0
3/01/2015 16:00,0.019,0
3/01/2015 17:00,0.008,0.007
3/01/2015 18:00,0.002,0.049
3/01/2015 19:00,0.005,0.096
3/01/2015 20:00,0.005,0.108
3/01/2015 21:00,0.004,0.144
3/01/2015 22:00,0.012,0.163
3/01/2015 23:00,0.029,0.214
4/01/2015 0:00,0.035,0.221
4/01/2015 1:00,0.033,0.227
4/01/2015 2:00,0.031,0.428
4/01/2015 3:00,0.03,0.342
4/01/2015 4:00,0.028,0.236
4/01/2015 5:00,0.027,0.205
4/01/2015 6:00,0.024,0.2
4/01/2015 7:00,0.023,0.188
4/01/2015 8:00,0.021,0.156
4/01/2015 9:00,0.019,0.132
