Plot Title: UNDERC - Peter Lake 2015 ,,,,,,
#,"Time, GMT-05:00","PAR, uE()","Temp, °C()","Wind Speed, m/s()","Gust Speed, m/s()","Wind Direction, ø()"
1,5/7/2015 15:00,603.7,24.75,3.9,9.83,151.6
2,5/7/2015 15:05,613.7,24.702,2.97,9.28,120.7
3,5/7/2015 15:10,418.7,24.702,3.9,7.61,115.1
4,5/7/2015 15:15,218.7,24.605,2.97,6.86,127.8
5,5/7/2015 15:20,253.7,24.484,3.9,8.53,127.8
6,5/7/2015 15:25,338.7,24.46,3.34,7.42,129.2
7,5/7/2015 15:30,248.7,24.267,3.15,6.12,123.5
8,5/7/2015 15:35,221.2,24.267,2.6,6.12,134.8
9,5/7/2015 15:40,108.7,24.195,2.6,6.68,122.1
10,5/7/2015 15:45,71.2,24.243,2.78,5.94,123.5
11,5/7/2015 15:50,43.7,23.304,3.53,9.83,150.2
12,5/7/2015 15:55,271.2,18.461,2.23,8.35,210.6
13,5/7/2015 16:00,273.7,18.485,0,0.56,110.9
14,5/7/2015 16:05,336.2,19.08,0,1.3,176.9
15,5/7/2015 16:10,438.7,19.722,0,0.19,133.4
16,5/7/2015 16:15,426.2,20.174,0,1.48,151.6
17,5/7/2015 16:20,438.7,21.079,0,0.93,169.9
18,5/7/2015 16:25,643.7,21.199,0.37,2.97,209.2
19,5/7/2015 16:30,633.7,21.652,0.37,1.48,186.7
20,5/7/2015 16:35,436.2,24.219,2.6,9.28,110.9
21,5/7/2015 16:40,343.7,24.46,4.27,9.46,133.4
22,5/7/2015 16:45,446.2,24.508,2.6,7.61,127.8
23,5/7/2015 16:50,396.2,24.557,3.9,7.61,120.7
24,5/7/2015 16:55,408.7,24.46,3.9,7.98,122.1
25,5/7/2015 17:00,263.7,24.339,2.78,7.42,115.1
26,5/7/2015 17:05,348.7,24.412,4.45,10.2,120.7
27,5/7/2015 17:10,226.2,24.171,3.34,7.42,130.6
28,5/7/2015 17:15,486.2,23.497,3.34,6.86,124.9
29,5/7/2015 17:20,593.7,22.992,2.04,5.75,122.1
30,5/7/2015 17:25,653.7,23.521,1.48,3.9,119.3
31,5/7/2015 17:30,886.2,24.05,1.3,4.82,119.3
32,5/7/2015 17:35,523.7,24.243,1.86,5.38,109.5
33,5/7/2015 17:40,736.2,24.339,2.23,7.24,139
34,5/7/2015 17:45,478.7,24.629,0.74,4.27,122.1
35,5/7/2015 17:50,841.2,24.992,1.67,8.91,122.1
36,5/7/2015 17:55,883.7,24.944,3.71,7.42,116.5
37,5/7/2015 18:00,766.2,25.04,4.45,11.5,124.9
38,5/7/2015 18:05,693.7,24.871,2.23,6.12,124.9
39,5/7/2015 18:10,368.7,24.605,1.67,5.38,134.8
40,5/7/2015 18:15,283.7,24.388,2.04,6.49,129.2
41,5/7/2015 18:20,161.2,24.243,2.6,8.72,130.6
42,5/7/2015 18:25,218.7,24.05,3.71,8.16,127.8
43,5/7/2015 18:30,188.7,24.002,1.86,5.57,101.1
44,5/7/2015 18:35,168.7,23.881,3.34,7.98,123.5
45,5/7/2015 18:40,273.7,23.978,3.53,7.24,113.7
46,5/7/2015 18:45,333.7,24.05,2.97,6.31,120.7
47,5/7/2015 18:50,191.2,23.857,3.9,10.76,126.4
48,5/7/2015 18:55,146.2,23.761,3.53,8.16,123.5
49,5/7/2015 19:00,146.2,23.737,3.9,7.61,123.5
50,5/7/2015 19:05,151.2,23.472,2.04,6.49,132
51,5/7/2015 19:10,136.2,23.448,2.6,7.24,122.1
52,5/7/2015 19:15,111.2,23.448,2.78,6.86,122.1
53,5/7/2015 19:20,108.7,23.472,1.67,6.31,137.6
54,5/7/2015 19:25,66.2,23.376,3.15,6.68,165.7
55,5/7/2015 19:30,46.2,23.376,2.6,7.05,119.3
56,5/7/2015 19:35,31.2,23.112,2.97,6.86,130.6
57,5/7/2015 19:40,28.7,22.968,2.23,4.64,119.3
58,5/7/2015 19:45,26.2,22.968,1.86,3.9,120.7
59,5/7/2015 19:50,21.2,22.824,1.86,5.75,132
60,5/7/2015 19:55,18.7,22.92,2.97,6.31,116.5
61,5/7/2015 20:00,13.7,22.872,2.97,7.79,127.8
62,5/7/2015 20:05,11.2,22.776,2.6,6.31,110.9
63,5/7/2015 20:10,6.2,22.8,2.97,5.57,95.5
64,5/7/2015 20:15,3.7,22.609,2.41,5.94,123.5
65,5/7/2015 20:20,1.2,22.441,2.97,6.68,122.1
66,5/7/2015 20:25,1.2,22.609,3.34,6.86,123.5
67,5/7/2015 20:30,1.2,22.369,2.41,5.94,126.4
68,5/7/2015 20:35,1.2,22.202,2.23,5.75,110.9
69,5/7/2015 20:40,1.2,22.202,2.6,7.42,126.4
70,5/7/2015 20:45,1.2,22.106,2.23,4.82,122.1
71,5/7/2015 20:50,1.2,21.963,1.86,4.45,119.3
72,5/7/2015 20:55,1.2,21.939,2.04,4.64,117.9
73,5/7/2015 21:00,1.2,21.987,2.04,5.38,119.3
74,5/7/2015 21:05,1.2,22.154,3.15,9.28,122.1
75,5/7/2015 21:10,1.2,22.178,3.71,6.68,119.3
76,5/7/2015 21:15,1.2,21.819,2.23,5.38,130.6
77,5/7/2015 21:20,1.2,21.819,2.23,5.2,120.7
78,5/7/2015 21:25,1.2,21.748,1.86,4.64,124.9
79,5/7/2015 21:30,1.2,21.795,2.23,5.2,130.6
80,5/7/2015 21:35,1.2,21.557,1.3,5.38,119.3
81,5/7/2015 21:40,1.2,21.7,1.86,5.57,124.9
82,5/7/2015 21:45,1.2,21.676,2.23,7.42,112.3
83,5/7/2015 21:50,1.2,21.724,2.23,6.49,132
84,5/7/2015 21:55,1.2,21.748,2.41,4.64,120.7
85,5/7/2015 22:00,1.2,21.843,2.41,5.94,117.9
86,5/7/2015 22:05,1.2,21.724,2.23,6.31,123.5
87,5/7/2015 22:10,1.2,21.915,2.23,7.24,122.1
