Time,Shortwave radiation (watt/meter^2),Longwave radiation (watt/meter^2)
1/01/2015 0:00,0,50.7858
1/01/2015 1:00,0,53.295
1/01/2015 2:00,0,43.2494
1/01/2015 3:00,0,34.5303
1/01/2015 4:00,0,15.3553
1/01/2015 5:00,0,10.5965
1/01/2015 6:00,0,8.79281
1/01/2015 7:00,0,6.99797
1/01/2015 8:00,0,8.39125
1/01/2015 9:00,0.492633,4.93692
1/01/2015 10:00,21.3829,8.90594
1/01/2015 11:00,72.1775,20.529
1/01/2015 12:00,112.32,31.0917
1/01/2015 13:00,127.579,35.9925
1/01/2015 14:00,154.807,35.9281
1/01/2015 15:00,132.572,43.1031
1/01/2015 16:00,92.735,47.7575
1/01/2015 17:00,31.3289,40.6425
1/01/2015 18:00,1.63767,61.3528
1/01/2015 19:00,0,73.1711
1/01/2015 20:00,0,77.4953
1/01/2015 21:00,0,85.0606
1/01/2015 22:00,0,78.3736
1/01/2015 23:00,0,78.3717
2/01/2015 0:00,0,79.6983
2/01/2015 1:00,0,80.1197
2/01/2015 2:00,0,80.0378
2/01/2015 3:00,0,78.3294
2/01/2015 4:00,0,71.8133
2/01/2015 5:00,0,73.1956
2/01/2015 6:00,0,71.4606
2/01/2015 7:00,0,63.5981
2/01/2015 8:00,0,54.4731
2/01/2015 9:00,1.11841,61.5681
2/01/2015 10:00,47.9853,62.4222
2/01/2015 11:00,116.075,57.9208
2/01/2015 12:00,161.171,54.4308
2/01/2015 13:00,205.747,66.7617
2/01/2015 14:00,207.239,64.4567
2/01/2015 15:00,156.085,47.0453
2/01/2015 16:00,67.7569,7.55928
2/01/2015 17:00,20.158,2.20587
2/01/2015 18:00,0.945322,2.04712
2/01/2015 19:00,0,1.55016
2/01/2015 20:00,0,1.28517
2/01/2015 21:00,0,12.2582
2/01/2015 22:00,0,13.1745
2/01/2015 23:00,0,32.3031
3/01/2015 0:00,0,40.6892
3/01/2015 1:00,0,45.0264
3/01/2015 2:00,0,44.0169
3/01/2015 3:00,0,32.6269
3/01/2015 4:00,0,18.4769
3/01/2015 5:00,0,3.85081
3/01/2015 6:00,0,1.59675
3/01/2015 7:00,0,11.4396
3/01/2015 8:00,0,10.1927
3/01/2015 9:00,0.319547,0.466514
3/01/2015 10:00,25.3506,12.1029
3/01/2015 11:00,56.6261,20.0387
3/01/2015 12:00,99.1792,16.7086
3/01/2015 13:00,157.23,44.5583
3/01/2015 14:00,164.539,38.3175
3/01/2015 15:00,166.057,64.6408
3/01/2015 16:00,91.0039,48.5606
3/01/2015 17:00,25.6569,24.6911
3/01/2015 18:00,0.905381,13.2033
3/01/2015 19:00,0,8.38014
3/01/2015 20:00,0,15.0802
3/01/2015 21:00,0,8.88375
3/01/2015 22:00,0,8.93478
3/01/2015 23:00,0,6.88039
4/01/2015 0:00,0,6.45886
4/01/2015 1:00,0,7.9675
4/01/2015 2:00,0,7.191
4/01/2015 3:00,0,8.89708
4/01/2015 4:00,0,10.2105
4/01/2015 5:00,0,11.1401
4/01/2015 6:00,0,9.34522
4/01/2015 7:00,0,11.0801
4/01/2015 8:00,0,12.8728
4/01/2015 9:00,0.705664,16.8307
4/01/2015 10:00,22.8209,15.3975
4/01/2015 11:00,60.6072,16.0631
4/01/2015 12:00,95.3178,18.2905
4/01/2015 13:00,116.728,21.7315
4/01/2015 14:00,155.845,33.1106
4/01/2015 15:00,139.056,36.1678
4/01/2015 16:00,96.09,35.3069
4/01/2015 17:00,40.2361,39.0075
4/01/2015 18:00,2.17025,49.7764
4/01/2015 19:00,0,42.2711
4/01/2015 20:00,0,41.6364
4/01/2015 21:00,0,49.9406
4/01/2015 22:00,0,43.5511
4/01/2015 23:00,0,47.1075
5/01/2015 0:00,0,41.2506
5/01/2015 1:00,0,37.3281
5/01/2015 2:00,0,45.6653
5/01/2015 3:00,0,50.2667
5/01/2015 4:00,0,47.7242
5/01/2015 5:00,0,46.0914
5/01/2015 6:00,0,44.5872
5/01/2015 7:00,0,46.4686
5/01/2015 8:00,0,41.7208
5/01/2015 9:00,1.11841,46.4442
5/01/2015 10:00,42.0069,40.5317
5/01/2015 11:00,117.114,53.8964
5/01/2015 12:00,174.911,54.2003
5/01/2015 13:00,217.238,60.8183
5/01/2015 14:00,225.932,69.5328
5/01/2015 15:00,196.747,72.5789
5/01/2015 16:00,127.965,72.3614
5/01/2015 17:00,50.9542,60.1681
5/01/2015 18:00,2.54305,48.86
5/01/2015 19:00,0,38.9097
5/01/2015 20:00,0,38.0711
5/01/2015 21:00,0,32.8267
5/01/2015 22:00,0,40.9067
5/01/2015 23:00,0,36.5936
6/01/2015 0:00,0,37.2614
6/01/2015 1:00,0,39.6153
6/01/2015 2:00,0,45.0131
6/01/2015 3:00,0,62.7172
6/01/2015 4:00,0,63.5228
6/01/2015 5:00,0,60.5231
6/01/2015 6:00,0,57.5969
6/01/2015 7:00,0,55.7156
6/01/2015 8:00,0,52.2589
6/01/2015 9:00,1.18498,48.8203
6/01/2015 10:00,46.0411,56.8469
6/01/2015 11:00,115.116,58.1139
6/01/2015 12:00,154.94,52.2081
6/01/2015 13:00,178.187,50.7636
6/01/2015 14:00,179.718,50.1181
6/01/2015 15:00,166.696,59.0856
6/01/2015 16:00,117.686,56.2458
6/01/2015 17:00,52.1258,60.6275
6/01/2015 18:00,2.75608,55.4869
6/01/2015 19:00,0,47.2094
6/01/2015 20:00,0,35.3114
6/01/2015 21:00,0,37.0817
6/01/2015 22:00,0,35.045
6/01/2015 23:00,0,36.5892
7/01/2015 0:00,0,33.5342
7/01/2015 1:00,0,25.8225
7/01/2015 2:00,0,34.2397
7/01/2015 3:00,0,24.8929
7/01/2015 4:00,0,29.705
7/01/2015 5:00,0,28.9683
7/01/2015 6:00,0,19.7969
7/01/2015 7:00,0,28.2872
7/01/2015 8:00,0,39.3425
7/01/2015 9:00,1.02521,30.7078
7/01/2015 10:00,34.4844,33.5453
7/01/2015 11:00,97.355,37.7894
7/01/2015 12:00,151.531,45.8097
7/01/2015 13:00,189.584,51.2186
7/01/2015 14:00,208.451,50.7636
7/01/2015 15:00,180.796,59.09
7/01/2015 16:00,121.827,54.8547
7/01/2015 17:00,57.6114,61.2842
7/01/2015 18:00,3.55494,54.6506
7/01/2015 19:00,0,51.955
7/01/2015 20:00,0,51.7975
7/01/2015 21:00,0,50.025
7/01/2015 22:00,0,49.0089
7/01/2015 23:00,0,47.1208
8/01/2015 0:00,0,52.2944
8/01/2015 1:00,0,49.7386
8/01/2015 2:00,0,34.9764
8/01/2015 3:00,0,34.0911
8/01/2015 4:00,0,23.6239
8/01/2015 5:00,0,22.7054
8/01/2015 6:00,0,13.7868
8/01/2015 7:00,0,15.0359
8/01/2015 8:00,0,5.69789
8/01/2015 9:00,0.852122,4.35789
8/01/2015 10:00,25.0444,3.30183
8/01/2015 11:00,61.1397,5.72008
8/01/2015 12:00,93.4939,1.82871
8/01/2015 13:00,78.9278,3.0445
8/01/2015 14:00,57.6514,5.94194
8/01/2015 15:00,52.4456,9.30528
8/01/2015 16:00,39.8233,9.64472
8/01/2015 17:00,19.7186,9.00133
8/01/2015 18:00,1.59773,7.51933
8/01/2015 19:00,0,11.0203
8/01/2015 20:00,0,20.1053
8/01/2015 21:00,0,18.9672
8/01/2015 22:00,0,27.3689
8/01/2015 23:00,0,29.2214
9/01/2015 0:00,0,27.6284
9/01/2015 1:00,0,34.5636
9/01/2015 2:00,0,46.6947
9/01/2015 3:00,0,42.7147
9/01/2015 4:00,0,45.255
9/01/2015 5:00,0,39.6042
9/01/2015 6:00,0,39.205
9/01/2015 7:00,0,45.0908
9/01/2015 8:00,0,38.1622
9/01/2015 9:00,1.11841,37.1883
9/01/2015 10:00,37.56,42.7014
9/01/2015 11:00,103.826,41.9625
9/01/2015 12:00,165.352,52.6806
9/01/2015 13:00,202.472,54.7083
9/01/2015 14:00,221.232,67.7381
9/01/2015 15:00,170.877,60.0594
9/01/2015 16:00,121.228,55.7578
9/01/2015 17:00,53.9233,56.4897
9/01/2015 18:00,4.10083,54.2889
9/01/2015 19:00,0,58.7372
9/01/2015 20:00,0,55.0033
9/01/2015 21:00,0,56.7892
9/01/2015 22:00,0,62.2847
9/01/2015 23:00,0,64.9625
10/01/2015 0:00,0,65.4261
10/01/2015 1:00,0,68.4125
10/01/2015 2:00,0,65.9542
10/01/2015 3:00,0,66.6508
10/01/2015 4:00,0,66.0872
10/01/2015 5:00,0,68.8761
10/01/2015 6:00,0,71.8289
10/01/2015 7:00,0,71.525
10/01/2015 8:00,0,73.7836
10/01/2015 9:00,1.59773,62.4867
10/01/2015 10:00,53.7769,63.5936
10/01/2015 11:00,130.681,70.2914
10/01/2015 12:00,201.194,80.4992
10/01/2015 13:00,244.959,88.4728
10/01/2015 14:00,253.32,98.1789
10/01/2015 15:00,224.801,103.058
10/01/2015 16:00,158.774,95.7783
10/01/2015 17:00,50.4217,53.5614
10/01/2015 18:00,4.12747,43.9217
10/01/2015 19:00,0,59.2031
10/01/2015 20:00,0,79.8911
10/01/2015 21:00,0,79.9778
10/01/2015 22:00,0,76.7075
10/01/2015 23:00,0,69.7125
11/01/2015 0:00,0,55.1475
11/01/2015 1:00,0,56.5831
11/01/2015 2:00,0,59.5492
11/01/2015 3:00,0,60.9203
11/01/2015 4:00,0,62.8506
11/01/2015 5:00,0,56.7072
11/01/2015 6:00,0,47.4381
11/01/2015 7:00,0,39.56
11/01/2015 8:00,0,17.4363
11/01/2015 9:00,1.07847,8.84825
11/01/2015 10:00,27.5741,11.4063
11/01/2015 11:00,56.6928,1.43159
11/01/2015 12:00,108.14,13.809
11/01/2015 13:00,143.33,9.66692
11/01/2015 14:00,133.011,15.6238
11/01/2015 15:00,109.511,12.1251
11/01/2015 16:00,75,17.3542
11/01/2015 17:00,39.81,22.3261
11/01/2015 18:00,4.08753,33.3192
11/01/2015 19:00,0,34.8322
11/01/2015 20:00,0,36.0589
11/01/2015 21:00,0,41.3036
11/01/2015 22:00,0,48.0725
11/01/2015 23:00,0,54.8458
12/01/2015 0:00,0,53.6722
12/01/2015 1:00,0,67.5981
12/01/2015 2:00,0,65.9386
12/01/2015 3:00,0,70.7972
12/01/2015 4:00,0,67.3942
12/01/2015 5:00,0,68.9469
12/01/2015 6:00,0,52.1725
12/01/2015 7:00,0,55.2783
12/01/2015 8:00,0,48.7825
12/01/2015 9:00,1.45127,52.2303
12/01/2015 10:00,42.9522,45.9006
12/01/2015 11:00,100.231,56.1947
12/01/2015 12:00,167.775,59.3872
12/01/2015 13:00,201.74,52.5828
12/01/2015 14:00,217.85,68.2417
12/01/2015 15:00,190.316,73.4928
12/01/2015 16:00,147.484,81.5308
12/01/2015 17:00,69.8608,79.5208
12/01/2015 18:00,6.52406,80.3992
12/01/2015 19:00,0,74.66
12/01/2015 20:00,0,67.1389
12/01/2015 21:00,0,64.3347
12/01/2015 22:00,0,56.2547
12/01/2015 23:00,0,57.9783
13/01/2015 0:00,0,62.9458
13/01/2015 1:00,0,64.4167
13/01/2015 2:00,0,63.6603
13/01/2015 3:00,0,63.4339
13/01/2015 4:00,0,64.2481
13/01/2015 5:00,0,65.3575
13/01/2015 6:00,0,68.6164
13/01/2015 7:00,0,70.1628
13/01/2015 8:00,0,72.3992
13/01/2015 9:00,2.11699,73.3308
13/01/2015 10:00,59.9947,76.6433
13/01/2015 11:00,148.296,83.5697
13/01/2015 12:00,218.449,89.8992
13/01/2015 13:00,257.687,95.2217
13/01/2015 14:00,262.147,98.465
13/01/2015 15:00,231.005,100.309
13/01/2015 16:00,166.989,100.937
13/01/2015 17:00,80.8186,98.6981
13/01/2015 18:00,8.01528,93.6331
13/01/2015 19:00,0,92.1822
13/01/2015 20:00,0,91.8669
13/01/2015 21:00,0,92.5547
13/01/2015 22:00,0,90.8597
13/01/2015 23:00,0,79.4342
14/01/2015 0:00,0,54.7572
14/01/2015 1:00,0,37.3836
14/01/2015 2:00,0,8.04736
14/01/2015 3:00,0,8.461
14/01/2015 4:00,0,5.09322
14/01/2015 5:00,0,2.6772
14/01/2015 6:00,0,1.72888
14/01/2015 7:00,0,11.6304
14/01/2015 8:00,0,21.1924
14/01/2015 9:00,1.50453,30.9075
14/01/2015 10:00,40.7686,28.03
14/01/2015 11:00,91.6964,30.0156
14/01/2015 12:00,144.688,34.3594
14/01/2015 13:00,154.74,26.2796
14/01/2015 14:00,199.077,47.4558
14/01/2015 15:00,168.481,50.7614
14/01/2015 16:00,114.97,52.0528
14/01/2015 17:00,50.435,36.3786
14/01/2015 18:00,5.45892,31.2736
14/01/2015 19:00,0,32.9175
14/01/2015 20:00,0,39.8283
14/01/2015 21:00,0,27.309
14/01/2015 22:00,0,18.2861
14/01/2015 23:00,0,17.5783
15/01/2015 0:00,0,11.7235
15/01/2015 1:00,0,6.15047
15/01/2015 2:00,0,16.1651
15/01/2015 3:00,0,22.8785
15/01/2015 4:00,0,7.05789
15/01/2015 5:00,0,2.38779
15/01/2015 6:00,0,9.82886
15/01/2015 7:00,0,8.83494
15/01/2015 8:00,0,10.1661
15/01/2015 9:00,1.53116,9.84661
15/01/2015 10:00,28.6261,6.55428
15/01/2015 11:00,71.8047,11.515
15/01/2015 12:00,136.339,31.0694
15/01/2015 13:00,168.813,52.9311
15/01/2015 14:00,139.309,34.7678
15/01/2015 15:00,157.869,64.0219
15/01/2015 16:00,92.6817,37.5942
15/01/2015 17:00,59.8083,60.7494
15/01/2015 18:00,7.52264,67.1944
15/01/2015 19:00,0,69.9586
